	Pseudomonas_amygdali_pv_tabaci_6605	Pseudomonas_amygdali_HS1	Pseudomonas_amygdali_pv_lachrymans_NM002	Pseudomonas_amygdali_pv_lachrymans_8	Pseudomonas_amygdali_pv_morsprunorum_R15244	Pseudomonas_amygdali_pv_tabaci_ATCC_11528	Pseudomonas_amygdali_pv_lachrymans_M301315	Pseudomonas_amygdali_35-1	Pseudomonas_syringae_B728a	Pseudomonas_syringae_DC3000	Pseudomonas_savastanoi_1448A	Pseudomonas_amygdali_pv_tabaci_ICMP2835	Pseudomonas_amygdali_pv_tabaci_478	Pseudomonas_amygdali_pv_tabaci_469	Pseudomonas_amygdali_pv_tabaci_480	Pseudomonas_amygdali_pv_tabaci_479	Pseudomonas_amygdali_pv_tabaci_440	Pseudomonas_amygdali_pv_tabaci_ICMP_2851	Pseudomonas_amygdali_pv_tabaci_ICMP_2812	Pseudomonas_amygdali_pv_mori_ICMP_535	Pseudomonas_amygdali_pv_mori_ICMP_6941	Pseudomonas_amygdali_CFBP_3205	Pseudomonas_amygdali_ICMP_3918	Pseudomonas_amygdali_Kayisi_1_Pss_Erzin	Pseudomonas_amygdali_Kaysi_meyve3	Pseudomonas_amygdali_pv_lachrymans_98A_744	Pseudomonas_amygdali_pv_lachrymans_3988	Pseudomonas_amygdali_pv_lachrymans_YM7902	Pseudomonas_amygdali_pv_lachrymans_814_98	Pseudomonas_amygdali_pv_lachrymans_YM8003	Pseudomonas_amygdali_pv_lachrymans_N7512	Pseudomonas_amygdali_pv_lachrymans_ICMP_3402	Pseudomonas_amygdali_pv_lachrymans_ICMP_1448	Pseudomonas_amygdali_pv_sesami_HC_1	Pseudomonas_amygdali_pv_sesami_ICMP763	Pseudomonas_amygdali_pv_sesami_ICMP_4995	Pseudomonas_amygdali_pv_sesami_ICMP_3386	Pseudomonas_amygdali_pv_sesami_ICMP_7459	Pseudomonas_amygdali_pv_morsprunorum_NZIPFR_PS6	Pseudomonas_amygdali_pv_morsprunorum_19322	Pseudomonas_amygdali_pv_morsprunorum_ICMP_3897	Pseudomonas_amygdali_pv_morsprunorum_ICMP_568	Pseudomonas_amygdali_pv_morsprunorum_ICMP_4983	Pseudomonas_amygdali_pv_myricae_AZ84488	Pseudomonas_amygdali_pv_myricae_ICMP7118	Pseudomonas_amygdali_pv_myricae_ICMP_7120	Pseudomonas_amygdali_pv_myricae_ICMP_11510	Pseudomonas_amygdali_pv_myricae_ICMP_11123	Pseudomonas_amygdali_pv_dendropanacis_ICMP9150	Pseudomonas_amygdali_pv_ulmi_ICMP3962	Pseudomonas_amygdali_pv_ulmi_ICMP_5931	Pseudomonas_amygdali_pv_mellea_N6801	Pseudomonas_amygdali_pv_mellea_ICMP5711	Pseudomonas_amygdali_pv_hibisci_ICMP9623	Pseudomonas_amygdali_pv_hibisci_ICMP_9314	Pseudomonas_amygdali_pv_ciccaronei_ICMP5710	Pseudomonas_amygdali_pv_aesculi_0893_23	Pseudomonas_amygdali_pv_morsprunorum_M302280	Pseudomonas_amygdali_pv_lachrymans_M302278	Pseudomonas_amygdali_pv_aesculi_NCPPB_3681	Pseudomonas_amygdali_pv_aesculi_2250
group_00013	2	0	2	2	1	1	2	2	1	1	0	1	2	2	1	2	2	2	1	2	2	0	0	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	1	1	1	1	0	1	0	0	0	1	2	3	1	0	0	1	1	1	1	1	1	1
group_00014	2	0	1	2	1	2	2	3	1	1	0	1	2	2	1	2	2	2	1	2	2	1	1	2	1	0	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	1	1	1	2	1	1	1	0	1	2	1	0	1	2	1	1	1	1	1	1
group_00015	1	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	2	2	1	2	1	2	1	2	1	1	1	1	1	1	2	0	1	1	0	2
group_00016	1	2	1	1	1	1	1	2	0	1	1	1	3	2	2	2	2	2	1	2	2	1	1	1	1	1	0	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	0	1	1
group_00017	1	0	2	2	2	1	2	2	1	1	0	1	2	2	1	2	2	2	1	2	2	0	0	1	0	2	1	2	2	2	2	2	2	2	1	2	2	2	1	1	1	1	1	0	1	0	0	0	1	2	3	1	0	0	1	1	1	1	1	1	1
group_00018	1	0	2	2	1	1	2	2	1	1	0	1	2	2	1	2	2	1	1	2	2	1	1	0	0	2	1	2	2	2	2	2	3	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1
group_00019	2	0	2	2	1	1	2	1	1	1	0	0	2	2	1	2	2	2	1	2	2	0	0	2	2	2	1	2	2	2	2	2	2	2	2	1	2	1	2	1	2	1	1	0	1	0	0	0	1	1	2	1	0	0	0	1	1	1	1	1	1
group_00020	1	0	2	2	2	1	2	1	1	1	0	1	2	2	1	2	2	2	1	2	2	0	0	0	0	2	1	2	2	2	2	2	2	1	1	1	2	0	1	1	1	1	1	1	2	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1
group_00021	2	0	2	2	2	1	2	1	1	0	0	2	2	2	1	2	2	2	1	1	1	0	0	2	2	2	0	2	2	2	2	2	2	2	3	3	1	1	2	1	2	1	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1
group_00022	2	0	2	2	1	1	2	1	1	1	0	2	2	2	1	2	2	2	1	1	1	0	0	1	1	2	1	2	2	2	2	2	2	2	3	1	2	1	2	1	1	1	1	0	1	0	0	0	1	1	2	1	0	0	0	1	1	1	1	1	1
group_00023	2	0	2	2	2	2	2	2	1	0	0	2	2	2	1	2	2	2	1	0	0	0	0	2	2	1	1	1	3	2	2	2	2	0	2	2	1	1	1	1	2	1	1	0	1	0	0	0	1	1	2	1	0	0	1	1	1	1	1	1	1
group_00024	1	0	1	1	2	1	1	1	1	1	0	1	2	2	1	2	2	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	0	1	1	2	1	1	1	1	1
group_00025	2	0	2	2	2	2	2	2	1	0	0	2	1	1	1	2	2	2	1	2	1	0	0	1	1	2	0	1	2	1	2	1	1	0	3	3	1	2	2	1	1	2	0	0	1	0	0	0	0	2	2	1	0	1	1	2	2	1	0	1	1
group_00026	1	0	2	2	1	1	2	2	1	1	0	1	2	2	1	2	2	2	1	0	0	1	1	0	0	0	1	2	2	2	1	2	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	2	1	1	1	1	1	1
group_00027	2	0	1	1	2	2	1	3	1	1	0	2	2	2	1	2	2	1	1	1	0	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	2	0	1	1	2	1	1	1	1	1	3	1	0	1	2	0	1	1	1	1	0
group_00028	2	0	2	2	2	1	2	2	1	0	0	0	2	2	1	2	2	2	1	0	0	0	0	2	2	2	1	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	2	0	1	0	0	0	0	2	2	1	0	0	1	2	1	1	1	1	1
group_00029	2	0	2	2	2	2	2	2	1	0	0	1	2	2	1	2	2	2	1	0	0	0	0	2	2	2	1	2	2	2	2	2	2	0	1	1	1	1	0	1	2	1	3	0	1	0	0	0	0	1	2	1	0	0	1	2	1	1	1	1	1
group_00030	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	2	2	1	1
group_00031	2	0	2	3	1	1	3	2	1	1	0	0	2	2	1	2	2	2	1	0	0	0	0	2	2	2	1	2	3	2	2	1	2	1	1	1	1	1	2	1	1	1	1	0	1	0	0	0	1	1	2	1	0	0	1	1	1	1	0	1	1
group_00032	0	0	0	2	5	0	0	0	0	0	0	0	1	1	1	1	3	0	0	2	1	1	2	2	2	1	0	1	0	0	0	0	1	1	1	2	1	2	4	1	2	3	2	2	2	4	4	4	0	3	0	0	0	0	0	1	1	1	0	0	2
group_00033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	0	1	1	1	1	2
group_00034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2
group_00035	2	0	2	2	2	2	2	2	1	0	0	1	2	2	1	2	2	2	1	1	1	0	0	1	1	2	0	2	2	2	2	2	1	2	1	1	2	1	2	1	1	2	0	0	1	0	0	0	0	1	2	1	0	1	1	1	1	1	0	1	0
group_00036	1	0	0	1	1	1	1	4	1	0	2	1	1	1	1	1	1	1	1	0	0	1	2	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	2	4	3	2	2	6	1	2	1	0	0	0	2	2	0	1	2	1
group_00037	1	0	0	1	2	1	0	0	1	2	1	2	2	2	2	2	1	2	2	1	0	1	1	2	1	2	2	1	1	2	1	2	1	1	1	1	1	0	2	1	2	1	1	1	1	1	1	1	1	2	2	1	0	0	0	0	1	1	1	1	1
group_00038	1	1	2	1	2	2	2	2	2	1	2	3	0	0	0	0	0	3	2	1	4	0	0	0	0	1	1	2	1	2	2	1	3	2	2	2	1	2	1	0	0	2	0	1	0	1	1	1	0	1	1	3	0	1	1	1	0	0	1	0	0
group_00039	1	1	1	1	2	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	0	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	0	2	2
group_00040	1	0	2	2	2	1	2	0	1	0	0	1	2	2	1	2	2	2	1	2	2	0	0	1	1	2	0	2	2	2	1	2	1	3	2	1	2	2	2	1	1	2	1	0	1	0	0	0	0	2	1	1	0	0	0	1	1	1	0	1	0
group_00041	1	0	0	1	1	1	1	2	0	0	0	1	1	1	1	1	2	1	1	2	3	1	1	2	3	1	0	1	1	1	1	1	1	2	1	2	2	2	2	2	1	1	2	1	1	2	2	2	1	2	0	0	0	0	0	3	0	0	0	1	1
group_00042	1	0	2	2	2	3	2	2	2	2	1	2	0	0	0	0	0	2	2	2	3	0	0	0	0	2	0	2	1	2	2	2	3	2	3	3	1	1	1	0	0	2	1	0	0	0	0	0	0	2	3	2	0	1	1	1	0	0	0	0	0
group_00043	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	2	2	1	0	1	1	1	1	2	1	1	1	1	1
group_00044	1	1	1	1	0	2	1	2	1	1	1	1	2	2	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	2	2	1	1	1	1	1	1
group_00045	0	0	0	2	1	0	1	1	0	1	0	1	0	0	0	0	1	1	1	1	1	1	1	2	2	1	1	0	2	1	2	3	2	1	1	1	1	1	2	1	1	1	2	2	2	2	2	3	1	2	2	1	0	1	1	1	1	1	1	1	1
group_00046	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2
group_00047	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	2	1
group_00048	0	0	0	1	3	0	1	1	0	1	2	0	1	1	1	1	1	0	0	2	1	2	2	1	1	1	0	1	1	1	1	1	0	2	2	2	2	2	2	3	1	1	1	2	1	1	2	2	1	2	1	2	0	1	1	1	0	1	0	0	1
group_00049	3	2	0	0	1	3	0	2	0	1	0	2	3	3	3	3	3	1	2	1	1	2	2	1	1	0	2	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	2	2	1	0	0	0	1	2	1
group_00050	1	2	1	1	1	1	1	1	2	2	2	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1
group_00051	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00052	0	0	0	2	6	0	1	1	0	0	2	0	1	1	1	1	1	0	0	1	1	1	2	2	3	2	0	0	1	1	1	1	2	0	2	2	2	3	3	1	2	1	1	0	1	1	1	1	0	3	1	2	0	0	0	1	0	1	0	1	0
group_00053	2	0	2	1	2	2	2	1	1	0	0	1	2	2	1	2	2	2	1	1	1	0	0	1	1	2	0	2	2	2	1	2	1	2	2	2	1	1	2	1	1	2	1	0	1	0	0	0	0	1	1	1	0	0	0	1	1	1	0	1	0
group_00054	2	1	1	2	1	2	2	1	1	1	0	2	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	2	2	2	2	2	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1
group_00055	2	3	2	2	0	2	2	1	1	1	1	1	2	2	2	2	2	2	2	1	0	1	1	0	0	2	0	1	2	1	2	2	1	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1
group_00056	2	0	2	2	2	1	2	2	1	1	0	2	2	2	1	2	2	1	1	1	1	0	0	1	1	2	1	2	1	2	1	2	2	0	1	1	0	0	2	1	2	1	2	0	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1
group_00057	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	2	2	2	2	2	2	0	2	1	1	1	1	1	1	1	1	1	2
group_00058	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	0	2	1	1	1	1	1	2	0	1	1
group_00059	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00060	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	2	1	1	2
group_00061	1	0	1	2	2	2	2	1	1	1	0	1	2	2	1	2	2	2	1	2	2	1	1	1	1	1	0	0	2	0	0	0	0	2	3	1	1	2	2	1	0	2	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1
group_00062	2	0	1	1	2	2	1	1	1	0	1	1	2	2	1	2	2	2	1	1	1	1	1	2	2	2	0	1	1	2	0	2	2	2	1	1	0	1	1	1	1	2	1	0	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1
group_00063	1	0	0	1	2	2	1	1	0	0	2	1	2	2	2	2	1	1	1	2	1	0	1	1	1	2	0	1	1	1	1	2	0	2	2	2	1	2	3	0	1	1	1	1	1	1	2	2	1	1	0	2	0	0	0	1	0	0	0	0	1
group_00064	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
group_00065	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
group_00066	2	0	2	3	2	2	3	1	1	0	0	1	2	2	1	2	2	2	1	0	1	0	0	1	2	2	1	2	3	1	2	2	2	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1
group_00067	2	0	2	2	2	2	2	2	1	0	0	1	2	2	1	2	2	2	1	0	1	0	0	1	1	1	0	1	2	0	0	0	1	2	1	1	2	3	2	1	1	1	1	0	1	0	0	0	0	1	2	1	0	1	1	1	1	1	0	1	1
group_00068	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	1	1	2	1	1	0	1	1
group_00069	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00070	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00071	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00072	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00073	1	0	1	2	2	2	2	1	1	1	0	1	2	2	1	2	2	1	1	3	2	1	1	0	0	0	0	0	2	0	0	1	0	2	1	1	1	2	2	1	1	1	1	0	1	0	0	0	1	3	1	1	0	1	1	1	1	1	0	1	1
group_00074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
group_00075	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
group_00076	1	0	1	1	1	0	1	0	0	1	2	1	2	2	1	2	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	3	1	1	1	1	1	1	1	1	0	2	2	3	1	0	0	1	1	2	1	1	0
group_00077	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00078	0	0	0	1	2	1	0	1	0	2	1	1	1	1	1	1	0	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	1	0	1	3	1	2	1	2	1	1	1	1	1	0	2	0	3	0	0	1	1	0	1	1	0	1
group_00079	2	0	2	2	2	2	2	2	1	0	0	2	1	1	1	1	2	2	1	1	0	0	0	1	1	1	0	1	2	1	1	1	1	2	2	2	1	1	2	1	1	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1
group_00080	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00081	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
group_00082	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00083	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00084	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
group_00085	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
